Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Netherlands,NLD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,31592654988.9569
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-166983554.911685
Africa Eastern and Southern,AFE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Africa Western and Central,AFW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Albania,ALB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-910256725.971613
Algeria,DZA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,638915215.34559
American Samoa,ASM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Andorra,AND,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Angola,AGO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10813085379.2657
Antigua and Barbuda,ATG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-99949131.3440363
Arab World,ARB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Argentina,ARG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10883760783.9318
Armenia,ARM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-155376061.98069
Aruba,ABW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,37200481.5606372
Australia,AUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-38634724989.9104
Austria,AUT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,6171640564.49511
Azerbaijan,AZE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-838252000
"Bahamas, The",BHS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-76075924.75
Bahrain,BHR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,3126063829.78723
Bangladesh,BGD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2771250741.40178
Barbados,BRB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-366328937.704148
Belarus,BLR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1545700000
Belgium,BEL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,26844377439.2661
Belize,BLZ,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-58649340.1251989
Benin,BEN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-117056378.004949
Bermuda,BMU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,58627864.425454
Bhutan,BTN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-6450953.84974429
Bolivia,BOL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-556430243.093449
Bosnia and Herzegovina,BIH,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-288355804.376773
Botswana,BWA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-195308867.002062
Brazil,BRA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-61604176364.71
British Virgin Islands,VGB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Brunei Darussalam,BRN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-171289167.823995
Bulgaria,BGR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2098190000
Burkina Faso,BFA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-217796773.033046
Burundi,BDI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-7254430.56976757
Cabo Verde,CPV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-111989153.507983
Cambodia,KHM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1735043113.24523
Cameroon,CMR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-638519165.449774
Canada,CAN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,23927632715.3373
Caribbean small states,CSS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Cayman Islands,CYM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Central African Republic,CAF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Central Europe and the Baltics,CEB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Chad,TCD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Channel Islands,CHI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Chile,CHL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1915152095.71277
China,CHN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-68098649764.7788
Colombia,COL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-7402796209.71045
Comoros,COM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4936699.51044481
"Congo, Dem. Rep.",COD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1165720010.30767
"Congo, Rep.",COG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3730406565.91486
Costa Rica,CRI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2541308963.6613
Cote d'Ivoire,CIV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-480000380.520798
Croatia,HRV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-573685653.023771
Cuba,CUB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Curacao,CUW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-127804469.273743
Cyprus,CYP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,11529771271.5615
Czechia,CZE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,2026234172.19674
Denmark,DNK,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,5642339768.00211
